sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
other,W-Hol-208952,Actinopyga lecanora,white-bottomed sea cucumber,208952,NA,DD,NA,19.415738542997993,NA,NA
other,W-Hol-208945,Actinopyga obesa,plump sea cucumber,208945,NA,DD,NA,32.51090261489011,NA,NA
other,W-Hol-529344,Actinopyga varians,holothuroids,529344,NA,DD,NA,33.08515487413239,NA,NA
other,W-Hex-100838,Actinostola abyssorum,NA,NA,2256803,NA,NA,33.04742309939292,NA,NA
other,W-Hex-100839,Actinostola callosa,NA,100839,NA,NA,NA,42.51286067104391,NA,NA
other,SLB-57333,Actinostola spetsbergensis,NA,100842,NA,NA,NA,37.78146718146718,NA,NA
other,SLB-133164,Actinotrichia fragilis,spikeweed,NA,NA,NA,NA,24.046912664565177,NA,NA
crustacean,W-Bch-210171,Actumnus asper,NA,210171,NA,NA,NA,11.022869022869022,NA,NA
crustacean,W-Bch-210170,Actumnus setifer,short-haired crab,210170,NA,NA,NA,20.801468588523253,NA,NA
crustacean,SLB-99080,Acutiserolis cidaris,NA,258108,NA,NA,NA,17.77520909688939,NA,NA
